	PassengerId	Survived	Pclass	Name	Sex	SibSp	Parch	Ticket	Fare	Embarked	ship
79	80	1	3.0	McDermott, Miss. Brigdet Delia	female	0	0	330932	7,7875	Q	Titanic
80	81	0	1.0	Carrau, Mr. Francisco M	male	0	0	113059	47,1	S	Titanic
81	82	1	2.0	Ilett, Miss. Bertha	female	0	0	SO/C 14885	10,5	S	Titanic
82	83	1	3.0	Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)	female	3	0	3101278	15,85	S	Titanic
83	84	0	3.0	Ford, Mr. William Neal	male	1	3	W./C. 6608	34,375	S	Titanic
84	85	0	3.0	Slocovski, Mr. Selman Francis	male	0	0	SOTON/OQ 392086	8,05	S	Titanic
85	86	1	1.0	Fortune, Miss. Mabel Helen	female	3	2	19950	263	S	Titanic
86	87	0	3.0	Celotti, Mr. Francesco	male	0	0	343275	8,05	S	Titanic
87	88	0	3.0	Christmann, Mr. Emil	male	0	0	343276	8,05	S	Titanic
88	89	0	3.0	Andreasson, Mr. Paul Edvin	male	0	0	347466	7,8542	S	Titanic
89	90	0	1.0	Chaffee, Mr. Herbert Fuller	male	1	0	W.E.P. 5734	61,175	S	Titanic
90	91	0	3.0	Dean, Mr. Bertram Frank	male	1	2	C.A. 2315	20,575	S	Titanic
91	92	0	3.0	Coxon, Mr. Daniel	male	0	0	364500	7,25	S	Titanic
92	93	0	3.0	Shorney, Mr. Charles Joseph	male	0	0	374910	8,05	S	Titanic
93	94	0	1.0	Goldschmidt, Mr. George B	male	0	0	PC 17754	34,6542	C	Titanic
94	95	1	1.0	Greenfield, Mr. William Bertram	male	0	1	PC 17759	63,3583	C	Titanic
95	96	1	2.0	Doling, Mrs. John T (Ada Julia Bone)	female	0	1	231919	23	S	Titanic
96	97	0	2.0	Kantor, Mr. Sinai	male	1	0	244367	26	S	Titanic
97	98	0	3.0	Petranec, Miss. Matilda	female	0	0	349245	7,8958	S	Titanic
98	99	0	3.0	"Petroff, Mr. Pastcho (""Pentcho"")"	male	0	0	349215	7,8958	S	Titanic
99	100	0	1.0	White, Mr. Richard Frasar	male	0	1	35281	77,2875	S	Titanic
100	101	0	3.0	Johansson, Mr. Gustaf Joel	male	0	0	7540	8,6542	S	Titanic
101	102	0	3.0	Gustafsson, Mr. Anders Vilhelm	male	2	0	3101276	7,925	S	Titanic
102	103	0	3.0	Mionoff, Mr. Stoytcho	male	0	0	349207	7,8958	S	Titanic
103	104	1	3.0	Salkjelsvik, Miss. Anna Kristine	female	0	0	343120	7,65	S	Titanic
104	105	1	3.0	Moss, Mr. Albert Johan	male	0	0	312991	7,775	S	Titanic
105	106	0	3.0	Rekic, Mr. Tido	male	0	0	349249	7,8958	S	Titanic
106	107	1	3.0	Moran, Miss. Bertha	female	1	0	371110	24,15	Q	Titanic
107	108	0	1.0	Porter, Mr. Walter Chamberlain	male	0	0	110465	52	S	Titanic
108	109	0	3.0	Zabour, Miss. Hileni	female	1	0	2665	14,4542	C	Titanic
109	110	0	3.0	Barton, Mr. David John	male	0	0	324669	8,05	S	Titanic
110	111	0	3.0	Jussila, Miss. Katriina	female	1	0	4136	9,825	S	Titanic
111	112	0	3.0	Attalah, Miss. Malake	female	0	0	2627	14,4583	C	Titanic
112	113	0	3.0	Pekoniemi, Mr. Edvard	male	0	0	STON/O 2. 3101294	7,925	S	Titanic
113	114	0	3.0	Connors, Mr. Patrick	male	0	0	370369	7,75	Q	Titanic
114	115	0	2.0	Turpin, Mr. William John Robert	male	1	0	11668	21	S	Titanic
115	116	0	1.0	Baxter, Mr. Quigg Edmond	male	0	1	PC 17558	247,5208	C	Titanic
116	117	0	3.0	Andersson, Miss. Ellis Anna Maria	female	4	2	347082	31,275	S	Titanic
117	118	0	2.0	Hickman, Mr. Stanley George	male	2	0	S.O.C. 14879	73,5	S	Titanic
118	119	0	3.0	Moore, Mr. Leonard Charles	male	0	0	A4. 54510	8,05	S	Titanic
119	120	0	2.0	Nasser, Mr. Nicholas	male	1	0	237736	30,0708	C	Titanic
120	121	1	2.0	Webber, Miss. Susan	female	0	0	27267	13	S	Titanic
121	122	0	1.0	White, Mr. Percival Wayland	male	0	1	35281	77,2875	S	Titanic
122	123	1	3.0	Nicola-Yarred, Master. Elias	male	1	0	2651	11,2417	C	Titanic
123	124	0	3.0	McMahon, Mr. Martin	male	0	0	370372	7,75	Q	Titanic
124	125	1	3.0	Madsen, Mr. Fridtjof Arne	male	0	0	C 17369	7,1417	S	Titanic
125	126	1	3.0	Peter, Miss. Anna	female	1	1	2668	22,3583	C	Titanic
126	127	0	3.0	Ekstrom, Mr. Johan	male	0	0	347061	6,975	S	Titanic
127	128	0	3.0	Drazenoic, Mr. Jozef	male	0	0	349241	7,8958	C	Titanic
128	129	0	3.0	Coelho, Mr. Domingos Fernandeo	male	0	0	SOTON/O.Q. 3101307	7,05	S	Titanic
129	130	0	3.0	Robins, Mrs. Alexander A (Grace Charity Laury)	female	1	0	A/5. 3337	14,5	S	Titanic
130	131	1	2.0	Weisz, Mrs. Leopold (Mathilde Francoise Pede)	female	1	0	228414	26	S	Titanic
131	132	0	2.0	Sobey, Mr. Samuel James Hayden	male	0	0	C.A. 29178	13	S	Titanic
132	133	0	2.0	Richard, Mr. Emile	male	0	0	SC/PARIS 2133	15,0458	C	Titanic
133	134	1	1.0	Newsom, Miss. Helen Monypeny	female	0	2	11752	26,2833	S	Titanic
134	135	0	1.0	Futrelle, Mr. Jacques Heath	male	1	0	113803	53,1	S	Titanic
135	136	0	3.0	Osen, Mr. Olaf Elon	male	0	0	7534	9,2167	S	Titanic
136	137	0	1.0	Giglio, Mr. Victor	male	0	0	PC 17593	79,2	C	Titanic
137	138	0	3.0	Boulos, Mrs. Joseph (Sultana)	female	0	2	2678	15,2458	C	Titanic
138	139	1	3.0	Nysten, Miss. Anna Sofia	female	0	0	347081	7,75	S	Titanic
139	140	1	3.0	Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)	female	1	0	STON/O2. 3101279	15,85	S	Titanic
140	141	0	3.0	Burke, Mr. Jeremiah	male	0	0	365222	6,75	Q	Titanic
141	142	0	2.0	Andrew, Mr. Edgardo Samuel	male	0	0	231945	11,5	S	Titanic
142	143	0	2.0	Nicholls, Mr. Joseph Charles	male	1	1	C.A. 33112	36,75	S	Titanic
143	144	1	3.0	"Andersson, Mr. August Edvard (""Wennerstrom"")"	male	0	0	350043	7,7958	S	Titanic
144	145	0	3.0	"Ford, Miss. Robina Maggie ""Ruby"""	female	2	2	W./C. 6608	34,375	S	Titanic
145	146	0	2.0	"Navratil, Mr. Michel (""Louis M Hoffman"")"	male	0	2	230080	26	S	Titanic
146	147	0	2.0	Byles, Rev. Thomas Roussel Davids	male	0	0	244310	13	S	Titanic
147	148	0	2.0	Bateman, Rev. Robert James	male	0	0	S.O.P. 1166	12,525	S	Titanic
148	149	1	1.0	Pears, Mrs. Thomas (Edith Wearne)	female	1	0	113776	66,6	S	Titanic
149	150	0	3.0	Meo, Mr. Alfonzo	male	0	0	A.5. 11206	8,05	S	Titanic
150	151	0	3.0	van Billiard, Mr. Austin Blyler	male	0	2	A/5. 851	14,5	S	Titanic
151	152	0	3.0	Olsen, Mr. Ole Martin	male	0	0	Fa 265302	7,3125	S	Titanic
152	153	0	1.0	Williams, Mr. Charles Duane	male	0	1	PC 17597	61,3792	C	Titanic
153	154	1	3.0	"Gilnagh, Miss. Katherine ""Katie"""	female	0	0	35851	7,7333	Q	Titanic
154	155	0	3.0	Corn, Mr. Harry	male	0	0	SOTON/OQ 392090	8,05	S	Titanic
155	156	0	3.0	Smiljanic, Mr. Mile	male	0	0	315037	8,6625	S	Titanic
156	157	0	3.0	Sage, Master. Thomas Henry	male	8	2	CA. 2343	69,55	S	Titanic
157	158	0	3.0	Cribb, Mr. John Hatfield	male	0	1	371362	16,1	S	Titanic
158	159	1	2.0	"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"	female	0	0	C.A. 33595	15,75	S	Titanic
159	160	0	3.0	Bengtsson, Mr. John Viktor	male	0	0	347068	7,775	S	Titanic
160	161	0	3.0	Calic, Mr. Jovo	male	0	0	315093	8,6625	S	Titanic
161	162	0	3.0	Panula, Master. Eino Viljami	male	4	1	3101295	39,6875	S	Titanic
162	163	1	3.0	"Goldsmith, Master. Frank John William ""Frankie"""	male	0	2	363291	20,525	S	Titanic
163	164	1	1.0	Chibnall, Mrs. (Edith Martha Bowerman)	female	0	1	113505	55	S	Titanic
164	165	0	3.0	Skoog, Mrs. William (Anna Bernhardina Karlsson)	female	1	4	347088	27,9	S	Titanic
165	166	0	1.0	Baumann, Mr. John D	male	0	0	PC 17318	25,925	S	Titanic
166	167	0	3.0	Ling, Mr. Lee	male	0	0	1601	56,4958	S	Titanic
167	168	0	1.0	Van der hoef, Mr. Wyckoff	male	0	0	111240	33,5	S	Titanic
168	169	0	3.0	Rice, Master. Arthur	male	4	1	382652	29,125	Q	Titanic
169	170	1	3.0	Johnson, Miss. Eleanor Ileen	female	1	1	347742	11,1333	S	Titanic
170	171	0	3.0	Sivola, Mr. Antti Wilhelm	male	0	0	STON/O 2. 3101280	7,925	S	Titanic
171	172	0	1.0	Smith, Mr. James Clinch	male	0	0	17764	30,6958	C	Titanic
172	173	0	3.0	Klasen, Mr. Klas Albin	male	1	1	350404	7,8542	S	Titanic
173	174	0	3.0	Lefebre, Master. Henry Forbes	male	3	1	4133	25,4667	S	Titanic
174	175	0	1.0	Isham, Miss. Ann Elizabeth	female	0	0	PC 17595	28,7125	C	Titanic
175	176	0	2.0	Hale, Mr. Reginald	male	0	0	250653	13	S	Titanic
176	177	0	3.0	Leonard, Mr. Lionel	male	0	0	LINE	0	S	Titanic
177	178	0	3.0	Sage, Miss. Constance Gladys	female	8	2	CA. 2343	69,55	S	Titanic
178	179	0	2.0	Pernot, Mr. Rene	male	0	0	SC/PARIS 2131	15,05	C	Titanic
179	180	0	3.0	Asplund, Master. Clarence Gustaf Hugo	male	4	2	347077	31,3875	S	Titanic
180	181	1	2.0	Becker, Master. Richard F	male	2	1	230136	39	S	Titanic
181	182	1	3.0	Kink-Heilmann, Miss. Luise Gretchen	female	0	2	315153	22,025	S	Titanic
182	183	0	1.0	Rood, Mr. Hugh Roscoe	male	0	0	113767	50	S	Titanic
183	184	1	3.0	"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"	female	1	0	370365	15,5	Q	Titanic
184	185	1	1.0	"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"	male	0	0	111428	26,55	S	Titanic
185	186	0	3.0	Bourke, Mr. John	male	1	1	364849	15,5	Q	Titanic
186	187	0	3.0	Turcin, Mr. Stjepan	male	0	0	349247	7,8958	S	Titanic
187	188	1	2.0	Pinsky, Mrs. (Rosa)	female	0	0	234604	13	S	Titanic
188	189	0	2.0	Carbines, Mr. William	male	0	0	28424	13	S	Titanic
189	190	1	3.0	Andersen-Jensen, Miss. Carla Christine Nielsine	female	1	0	350046	7,8542	S	Titanic
190	191	1	2.0	Navratil, Master. Michel M	male	1	1	230080	26	S	Titanic
191	192	1	1.0	Brown, Mrs. James Joseph (Margaret Tobin)	female	0	0	PC 17610	27,7208	C	Titanic
192	193	1	1.0	Lurette, Miss. Elise	female	0	0	PC 17569	146,5208	C	Titanic
193	194	0	3.0	Mernagh, Mr. Robert	male	0	0	368703	7,75	Q	Titanic
194	195	0	3.0	Olsen, Mr. Karl Siegwart Andreas	male	0	1	4579	8,4042	S	Titanic
195	196	1	3.0	"Madigan, Miss. Margaret ""Maggie"""	female	0	0	370370	7,75	Q	Titanic
196	197	0	2.0	"Yrois, Miss. Henriette (""Mrs Harbeck"")"	female	0	0	248747	13	S	Titanic
197	198	0	3.0	Vande Walle, Mr. Nestor Cyriel	male	0	0	345770	9,5	S	Titanic
198	199	0	3.0	Sage, Mr. Frederick	male	8	2	CA. 2343	69,55	S	Titanic
199	200	0	3.0	Johanson, Mr. Jakob Alfred	male	0	0	3101264	6,4958	S	Titanic
200	201	0	3.0	Youseff, Mr. Gerious	male	0	0	2628	7,225	C	Titanic
201	202	1	3.0	"Cohen, Mr. Gurshon ""Gus"""	male	0	0	A/5 3540	8,05	S	Titanic
202	203	0	3.0	Strom, Miss. Telma Matilda	female	0	1	347054	10,4625	S	Titanic
203	204	0	3.0	Backstrom, Mr. Karl Alfred	male	1	0	3101278	15,85	S	Titanic
204	205	1	3.0	Albimona, Mr. Nassef Cassem	male	0	0	2699	18,7875	C	Titanic
205	206	1	3.0	"Carr, Miss. Helen ""Ellen"""	female	0	0	367231	7,75	Q	Titanic
206	207	1	1.0	Blank, Mr. Henry	male	0	0	112277	31	C	Titanic
207	208	0	3.0	Ali, Mr. Ahmed	male	0	0	SOTON/O.Q. 3101311	7,05	S	Titanic
208	209	1	2.0	Cameron, Miss. Clear Annie	female	0	0	F.C.C. 13528	21	S	Titanic
209	210	0	3.0	Perkin, Mr. John Henry	male	0	0	A/5 21174	7,25	S	Titanic
210	211	0	2.0	Givard, Mr. Hans Kristensen	male	0	0	250646	13	S	Titanic
211	212	0	3.0	Kiernan, Mr. Philip	male	1	0	367229	7,75	Q	Titanic
212	213	1	1.0	Newell, Miss. Madeleine	female	1	0	35273	113,275	C	Titanic
213	214	1	3.0	Honkanen, Miss. Eliina	female	0	0	STON/O2. 3101283	7,925	S	Titanic
214	215	0	2.0	Jacobsohn, Mr. Sidney Samuel	male	1	0	243847	27	S	Titanic
215	216	1	1.0	Bazzani, Miss. Albina	female	0	0	11813	76,2917	C	Titanic
216	217	0	2.0	Harris, Mr. Walter	male	0	0	W/C 14208	10,5	S	Titanic
217	218	1	3.0	Sunderland, Mr. Victor Francis	male	0	0	SOTON/OQ 392089	8,05	S	Titanic
218	219	0	2.0	Bracken, Mr. James H	male	0	0	220367	13	So	Titanic
219	220	0	3.0	Green, Mr. George Henry	male	0	0	21440	8,05	S	Titanic
220	221	0	3.0	Nenkoff, Mr. Christo	male	0	0	349234	7,8958	S	Titanic
221	222	1	1.0	Hoyt, Mr. Frederick Maxfield	male	1	0	19943	90	S	Titanic
222	223	0	3.0	Berglund, Mr. Karl Ivar Sven	male	0	0	PP 4348	9,35	S	Titanic
223	224	1	2.0	Mellors, Mr. William John	male	0	0	SW/PP 751	10,5	S	Titanic
224	225	0	3.0	"Lovell, Mr. John Hall (""Henry"")"	male	0	0	A/5 21173	7,25	S	Titanic
225	226	0	2.0	Fahlstrom, Mr. Arne Jonas	male	0	0	236171	13	S	Titanic
226	227	0	3.0	Lefebre, Miss. Mathilde	female	3	1	4133	25,4667	S	Titanic
227	228	1	1.0	Harris, Mrs. Henry Birkhardt (Irene Wallach)	female	1	0	36973	83,475	S	Titanic
228	229	0	3.0	Larsson, Mr. Bengt Edvin	male	0	0	347067	7,775	S	Titanic
229	230	0	2.0	Sjostedt, Mr. Ernst Adolf	male	0	0	237442	13,5	S	Titanic
230	231	1	3.0	Asplund, Miss. Lillian Gertrud	female	4	2	347077	31,3875	S	Titanic
231	232	0	2.0	Leyson, Mr. Robert William Norman	male	0	0	C.A. 29566	10,5	S	Titanic
232	233	0	3.0	Harknett, Miss. Alice Phoebe	female	0	0	W./C. 6609	7,55	S	Titanic
233	234	0	2.0	Hold, Mr. Stephen	male	1	0	26707	26	S	Titanic
234	235	1	2.0	"Collyer, Miss. Marjorie ""Lottie"""	female	0	2	C.A. 31921	26,25	S	Titanic
235	236	0	2.0	Pengelly, Mr. Frederick William	male	0	0	28665	10,5	S	Titanic
236	237	0	2.0	Hunt, Mr. George Henry	male	0	0	SCO/W 1585	12,275	S	Titanic
237	238	0	3.0	Zabour, Miss. Thamine	female	1	0	2665	14,4542	C	Titanic
238	239	1	3.0	"Murphy, Miss. Katherine ""Kate"""	female	1	0	367230	15,5	Q	Titanic
239	240	0	2.0	Coleridge, Mr. Reginald Charles	male	0	0	W./C. 14263	10,5	S	Titanic
240	241	0	3.0	Maenpaa, Mr. Matti Alexanteri	male	0	0	STON/O 2. 3101275	7,125	S	Titanic
241	242	0	3.0	Attalah, Mr. Sleiman	male	0	0	2694	7,225	C	Titanic
242	243	0	1.0	Minahan, Dr. William Edward	male	2	0	19928	-90	Q	Titanic
243	244	0	3.0	Lindahl, Miss. Agda Thorilda Viktoria	female	0	0	347071	7,775	S	Titanic
244	245	1	2.0	Hamalainen, Mrs. William (Anna)	female	0	2	250649	14,5	S	Titanic
245	246	1	1.0	Beckwith, Mr. Richard Leonard	male	1	1	11751	52,5542	S	Titanic
246	247	0	2.0	Carter, Rev. Ernest Courtenay	male	1	0	244252	26	S	Titanic
247	248	0	3.0	Reed, Mr. James George	male	0	0	362316	7,25	S	Titanic
248	249	0	3.0	Strom, Mrs. Wilhelm (Elna Matilda Persson)	female	1	1	347054	10,4625	S	Titanic
249	250	0	1.0	Stead, Mr. William Thomas	male	0	0	113514	26,55	S	Titanic
250	251	0	3.0	Lobb, Mr. William Arthur	male	1	0	A/5. 3336	16,1	S	Titanic
251	252	0	3.0	Rosblom, Mrs. Viktor (Helena Wilhelmina)	female	0	2	370129	20,2125	S	Titanic
252	253	1	3.0	Touma, Mrs. Darwis (Hanne Youssef Razi)	female	0	2	2650	15,2458	C	Titanic
253	254	1	1.0	Thorne, Mrs. Gertrude Maybelle	female	0	0	PC 17585	79,2	C	Titanic
254	255	1	1.0	Cherry, Miss. Gladys	female	0	0	110152	86,5	S	Titanic
255	256	1	1.0	Ward, Miss. Anna	female	0	0	PC 17755	512,3292	C	Titanic
256	257	1	2.0	Parrish, Mrs. (Lutie Davis)	female	0	1	230433	26	S	Titanic
257	258	0	3.0	Smith, Mr. Thomas	male	0	0	384461	7,75	Q	Titanic
258	259	1	3.0	Asplund, Master. Edvin Rojj Felix	male	4	2	347077	31,3875	S	Titanic
259	260	0	1.0	Taussig, Mr. Emil	male	1	1	110413	79,65	S	Titanic
260	261	0	1.0	Harrison, Mr. William	male	0	0	112059	0	S	Titanic
261	262	0	3.0	Henry, Miss. Delia	female	0	0	382649	7,75	Q	Titanic
262	263	0	2.0	Reeves, Mr. David	male	0	0	C.A. 17248	10,5	S	Titanic
263	264	0	3.0	Panula, Mr. Ernesti Arvid	male	4	1	3101295	39,6875	S	Titanic
264	265	1	3.0	Persson, Mr. Ernst Ulrik	male	1	0	347083	7,775	S	Titanic
265	266	1	1.0	Graham, Mrs. William Thompson (Edith Junkins)	female	0	1	PC 17582	153,4625	S	Titanic
266	267	1	1.0	Bissette, Miss. Amelia	female	0	0	PC 17760	135,6333	S	Titanic
267	268	0	1.0	Cairns, Mr. Alexander	male	0	0	113798	31	S	Titanic
268	269	1	3.0	Tornquist, Mr. William Henry	male	0	0	LINE	0	S	Titanic
269	270	1	2.0	Mellinger, Mrs. (Elizabeth Anne Maidment)	female	0	1	250644	19,5	S	Titanic
270	271	0	1.0	Natsch, Mr. Charles H	male	0	1	PC 17596	29,7	C	Titanic
271	272	1	3.0	"Healy, Miss. Hanora ""Nora"""	female	0	0	370375	7,75	Q	Titanic
272	273	1	1.0	Andrews, Miss. Kornelia Theodosia	female	1	0	13502	77,9583	S	Titanic
273	274	0	3.0	Lindblom, Miss. Augusta Charlotta	female	0	0	347073	7,75	S	Titanic
274	275	0	2.0	"Parkes, Mr. Francis ""Frank"""	male	0	0	239853	0	S	Titanic
275	276	0	3.0	Rice, Master. Eric	male	4	1	382652	29,125	Q	Titanic
276	277	1	3.0	Abbott, Mrs. Stanton (Rosa Hunt)	female	1	1	C.A. 2673	20,25	S	Titanic
277	278	0	3.0	Duane, Mr. Frank	male	0	0	336439	7,75	Q	Titanic
278	279	0	3.0	Olsson, Mr. Nils Johan Goransson	male	0	0	347464	7,8542	S	Titanic
279	280	0	3.0	de Pelsmaeker, Mr. Alfons	male	0	0	345778	9,5	S	Titanic
